Phase fields     scores        Norm. score
As Cl O Sm       9.659323421080929 0.25283355077468467
Ga Mo Se Te      9.668357606429415 0.25360526022741664
Cl Eu O Se       9.668852929743137 0.2536475712569802
C F Ge Se        9.669810337259065 0.25372935399683527
Bi Br Mn Se      9.674333087695071 0.25411569201506096
F I I O          9.676447166429163 0.2542962788062306
F Ho O Se        9.678344774036221 0.25445837440992475
As Cl Hg Zr      9.681218758953568 0.25470387317292004
Cl O Se Sm       9.681980912301576 0.25476897709988205
Cl Lu O Se        9.68606567022909 0.25511790134520057
Cl Nb P S        9.690878483142733 0.2555290168001551
Br O Te Zr       9.693716085502585 0.25577140772747436
Cl N O Sn        9.699302745328962 0.2562486259857804
Cl Mo S S         9.70271347708942 0.25653997421904673
Cl Hg Se Zr      9.703825126816946 0.2566349324880841
Cl Li P S        9.716383092290357 0.2577076468822539
As As Re S       9.717079288668975 0.2577671166966992
As Cr Cu Se      9.719771167356695 0.2579970597572837
Bi I Mn Se       9.720273719845329 0.25803998831044234
F Ge O V           9.7226007773547 0.25823876796879114
F O Pb S         9.727790916690424 0.25868211503683064
As C F S         9.729862384617862 0.258859061968842
Cl Cr O Si       9.730577365069701 0.2589201363382418
F O Se Yb         9.73655431052685 0.25943069319863626
Dy F O Se        9.738578512688434 0.2596036026400616
Ag Bi Br S       9.740330875718998 0.25975329130186603
F O P Pb         9.742285504280142 0.25992025769440985
As Br Hg Yb      9.743666911780089 0.2600382589512656
O S Si Y         9.745718713860922 0.2602135260063273
Ag F O S         9.750738773137334 0.2606423446598584
Cl Cr O Te       9.755054637694004 0.26101101027237555
Bi Cu O S         9.75707483585356 0.2611835776878076
Br Hg Pb S         9.7573918952686 0.26121066123084213
F Hg Ni S        9.762205560419284 0.2616218494847653
Ag F O P         9.765199299042797 0.26187757773315323
Bi Br Cu S       9.765477211938594 0.2619013173400412
F Hg O P         9.766039243683586 0.26194932667277093
As Br Li S       9.769563493000192 0.26225037169304694
Cl O P Sr         9.77049477976015 0.2623299231709213
B F O Te         9.777173497906967 0.26290042618001636
Ag Br Hg S       9.780270297950493 0.26316495804145434
Al Cl Nb Se      9.781529281866794 0.2632725017492233
Cu Dy O Se       9.784004831950249 0.26348396579677374
Br Hg Se Tl      9.785227837092865 0.2635884361604976
In Mo S Se       9.785750549074011 0.26363308675834857
Au Cl O Se       9.785758116695169 0.2636337331923713
Cu F O P         9.790281760931768 0.26402014755996733
Mo Ni S Se       9.795032681192582 0.26442597608052826
As Ca F O        9.796760997632523 0.26457361065769996
